epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,200.863,1.86495,2.23765,1.3933,0.64909,0.13053,0.15365,0.06709,2.32154,3.28001,1.70769,0.00024774,0.00024774,0.00024774
43,205.35,1.87249,2.28528,1.43,0.49388,0.12299,0.15226,0.06763,2.29908,3.24943,1.66497,0.000243611,0.000243611,0.000243611
44,210.055,1.84709,2.18537,1.38773,0.19356,0.19045,0.15411,0.07597,2.25128,3.14534,1.64531,0.000239483,0.000239483,0.000239483
45,214.823,1.85393,2.24907,1.39734,0.27157,0.1857,0.18945,0.09782,2.28956,3.08446,1.68685,0.000235355,0.000235355,0.000235355
46,219.584,1.80994,2.22917,1.37513,0.25185,0.22993,0.1787,0.07954,2.31941,3.06704,1.69014,0.000231226,0.000231226,0.000231226
47,224.423,1.81262,2.15998,1.38491,0.17858,0.21283,0.1951,0.09771,2.30352,3.09111,1.68648,0.000227098,0.000227098,0.000227098
48,228.907,1.82216,2.17171,1.37477,0.31904,0.15368,0.16636,0.07713,2.29753,3.12463,1.68476,0.00022297,0.00022297,0.00022297
49,233.453,1.83258,2.17618,1.36824,0.27854,0.18959,0.15692,0.07373,2.29831,3.12,1.67186,0.000218842,0.000218842,0.000218842
50,238.014,1.81583,2.13737,1.40184,0.40319,0.11413,0.17762,0.08284,2.24459,3.09497,1.69827,0.000214713,0.000214713,0.000214713
51,242.421,1.83803,2.1407,1.37089,0.17176,0.23135,0.2079,0.10262,2.25693,3.08529,1.68454,0.000210585,0.000210585,0.000210585
52,246.887,1.82359,2.07708,1.38389,0.2186,0.20848,0.19545,0.09933,2.24309,3.09419,1.67272,0.000206457,0.000206457,0.000206457
53,251.566,1.79059,2.01847,1.35142,0.34411,0.17649,0.19804,0.10725,2.2366,3.15262,1.66814,0.000202328,0.000202328,0.000202328
54,256.346,1.79436,1.98225,1.37101,0.2891,0.21498,0.21515,0.11173,2.24757,3.11401,1.70425,0.0001982,0.0001982,0.0001982
55,261.091,1.82037,2.0182,1.38324,0.16646,0.20343,0.18623,0.08389,2.26517,3.12311,1.72228,0.000194072,0.000194072,0.000194072
56,265.751,1.7574,2.00022,1.33929,0.21625,0.18417,0.16584,0.07317,2.2944,3.1366,1.69836,0.000189943,0.000189943,0.000189943
57,270.376,1.77448,1.92691,1.34861,0.29149,0.17145,0.18427,0.09006,2.27948,3.1581,1.70235,0.000185815,0.000185815,0.000185815
58,274.951,1.83847,1.99992,1.39718,0.37793,0.12711,0.16565,0.08025,2.30413,3.22198,1.70985,0.000181687,0.000181687,0.000181687
59,279.546,1.76914,1.8799,1.32802,0.37804,0.14927,0.16955,0.07735,2.31948,3.18722,1.70429,0.000177559,0.000177559,0.000177559
60,284.023,1.74369,1.89402,1.32345,0.25956,0.23806,0.17389,0.08967,2.29382,3.17941,1.72031,0.00017343,0.00017343,0.00017343
61,288.558,1.79938,1.84805,1.34031,0.27461,0.21733,0.15737,0.07814,2.28083,3.16423,1.7016,0.000169302,0.000169302,0.000169302
62,292.991,1.70633,1.8195,1.34829,0.19219,0.1999,0.15025,0.07547,2.29458,3.14418,1.7114,0.000165174,0.000165174,0.000165174
63,297.54,1.746,1.83591,1.33229,0.1266,0.24184,0.13133,0.05856,2.28999,3.14969,1.72791,0.000161045,0.000161045,0.000161045
64,302.049,1.7527,1.8306,1.32038,0.09716,0.21146,0.13585,0.05839,2.27224,3.13979,1.70533,0.000156917,0.000156917,0.000156917
65,306.518,1.7015,1.78008,1.30323,0.10276,0.1758,0.1179,0.04835,2.29967,3.13422,1.71608,0.000152789,0.000152789,0.000152789
66,311.08,1.7473,1.88522,1.33506,0.18126,0.18159,0.144,0.06301,2.30765,3.17369,1.71089,0.00014866,0.00014866,0.00014866
67,315.544,1.73141,1.89769,1.30565,0.22852,0.15881,0.14765,0.06862,2.29211,3.2081,1.71736,0.000144532,0.000144532,0.000144532
68,320.05,1.71073,1.89996,1.3418,0.23055,0.15169,0.14679,0.07146,2.26862,3.23824,1.70525,0.000140404,0.000140404,0.000140404
69,324.616,1.71594,1.7771,1.315,0.19083,0.18051,0.15353,0.07501,2.27568,3.24669,1.70077,0.000136276,0.000136276,0.000136276
70,329.231,1.71648,1.77202,1.29916,0.40468,0.18707,0.17973,0.08095,2.28063,3.22973,1.70165,0.000132147,0.000132147,0.000132147
71,333.884,1.69735,1.74001,1.29911,0.4091,0.20563,0.19381,0.09871,2.28162,3.1961,1.71404,0.000128019,0.000128019,0.000128019
72,338.434,1.68483,1.74564,1.30856,0.40131,0.21069,0.20701,0.09957,2.2906,3.15963,1.73029,0.000123891,0.000123891,0.000123891
73,343.091,1.69472,1.81716,1.31871,0.33349,0.23053,0.20122,0.09685,2.30481,3.16183,1.74133,0.000119762,0.000119762,0.000119762
74,347.652,1.72245,1.68138,1.29,0.38274,0.20188,0.18351,0.08973,2.34604,3.17647,1.76127,0.000115634,0.000115634,0.000115634
75,352.152,1.70236,1.77217,1.34086,0.26866,0.20747,0.1783,0.08509,2.31698,3.13487,1.77215,0.000111506,0.000111506,0.000111506
76,356.751,1.66464,1.70827,1.31804,0.24366,0.22045,0.15769,0.0778,2.29638,3.14385,1.75721,0.000107378,0.000107378,0.000107378
77,361.269,1.64448,1.70323,1.30325,0.24637,0.20833,0.1345,0.06174,2.31665,3.20422,1.7471,0.000103249,0.000103249,0.000103249
78,365.702,1.69296,1.7706,1.32245,0.34375,0.16836,0.12919,0.06146,2.30977,3.18629,1.74172,9.91209e-05,9.91209e-05,9.91209e-05
79,370.377,1.70746,1.69138,1.30957,0.28103,0.16573,0.13889,0.06878,2.3097,3.16295,1.75872,9.49926e-05,9.49926e-05,9.49926e-05
80,375.64,1.60111,1.61904,1.30192,0.2678,0.16566,0.13453,0.0645,2.30746,3.20413,1.75649,9.08643e-05,9.08643e-05,9.08643e-05
81,380.075,1.65296,1.63059,1.27906,0.10121,0.20726,0.13174,0.06052,2.28354,3.25989,1.74769,8.6736e-05,8.6736e-05,8.6736e-05
82,384.488,1.59299,1.62378,1.26444,0.11407,0.224,0.14368,0.07105,2.28593,3.27375,1.72746,8.26077e-05,8.26077e-05,8.26077e-05
83,389.084,1.64181,1.71148,1.30717,0.16306,0.19102,0.13782,0.06999,2.30826,3.30017,1.72517,7.84794e-05,7.84794e-05,7.84794e-05
84,393.661,1.65713,1.6564,1.28427,0.16058,0.20884,0.13429,0.0673,2.3203,3.30732,1.72654,7.43511e-05,7.43511e-05,7.43511e-05
85,398.475,1.61073,1.61876,1.2441,0.15793,0.21852,0.14116,0.07014,2.30511,3.30058,1.72153,7.02228e-05,7.02228e-05,7.02228e-05
86,403.106,1.63516,1.64736,1.27414,0.14862,0.2461,0.1423,0.06624,2.30905,3.26627,1.72508,6.60945e-05,6.60945e-05,6.60945e-05
87,407.595,1.66087,1.57989,1.26141,0.20851,0.17951,0.14004,0.06496,2.31613,3.24658,1.7344,6.19662e-05,6.19662e-05,6.19662e-05
88,412.042,1.65984,1.59746,1.27593,0.17408,0.21724,0.15435,0.07583,2.31407,3.22763,1.74017,5.78379e-05,5.78379e-05,5.78379e-05
89,416.464,1.56566,1.6468,1.25517,0.18088,0.22917,0.168,0.08078,2.32644,3.20642,1.75212,5.37096e-05,5.37096e-05,5.37096e-05
