epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0171,2.57764,5.06547,2.02011,0,0,0,0,2.59801,5.33707,2.34334,4.17e-05,4.17e-05,4.17e-05
2,51.9557,2.41166,4.88285,1.88814,0,0,0,0,2.47514,5.23204,2.09617,8.58361e-05,8.58361e-05,8.58361e-05
3,77.3996,2.4366,4.7819,1.75827,0,0,0,0,2.3837,5.02317,1.82732,0.000128156,0.000128156,0.000128156
4,102.2,2.23737,4.53937,1.61305,0.00501,0.02105,0.00424,0.00264,2.33157,4.84972,1.67612,0.000168659,0.000168659,0.000168659
5,128.595,2.25693,4.22349,1.56895,0.01439,0.19057,0.07952,0.03686,2.28211,4.65835,1.5726,0.000207346,0.000207346,0.000207346
6,153.92,2.21669,4.07008,1.56053,0.01279,0.41386,0.10573,0.0334,2.27787,4.42,1.60499,0.000244216,0.000244216,0.000244216
7,178.857,2.21291,3.81976,1.58646,0.01093,0.49143,0.10846,0.03577,2.30426,4.28841,1.65434,0.00027927,0.00027927,0.00027927
8,204.588,2.19527,3.74644,1.55839,0.58599,0.08911,0.06938,0.02855,2.26889,4.10466,1.63988,0.000312507,0.000312507,0.000312507
9,229.784,2.16581,3.78215,1.53098,0.47934,0.06879,0.06715,0.02984,2.27666,4.03652,1.63613,0.000343928,0.000343928,0.000343928
10,255.003,2.16758,3.50124,1.49794,0.66789,0.09119,0.09556,0.03759,2.31597,4.04411,1.67723,0.000342691,0.000342691,0.000342691
11,280.831,2.1555,3.46121,1.55946,0.67997,0.09123,0.12217,0.0423,2.34912,3.99006,1.73854,0.000334434,0.000334434,0.000334434
12,306.696,2.17204,3.35405,1.58011,0.29941,0.1734,0.1109,0.04102,2.37445,4.00013,1.77598,0.000326177,0.000326177,0.000326177
13,332.53,2.16135,3.27522,1.56101,0.31696,0.18838,0.10912,0.04084,2.38768,3.9235,1.78237,0.000317921,0.000317921,0.000317921
14,358.509,2.104,3.22889,1.52498,0.50004,0.13488,0.10573,0.03601,2.38684,3.74484,1.78353,0.000309664,0.000309664,0.000309664
15,383.686,2.08513,3.1898,1.52692,0.57011,0.10031,0.11089,0.04287,2.33611,3.68374,1.75855,0.000301408,0.000301408,0.000301408
16,409.198,2.10687,3.01518,1.52874,0.47784,0.12058,0.13019,0.05696,2.33706,3.7579,1.78934,0.000293151,0.000293151,0.000293151
17,436.49,2.06483,3.21899,1.55587,0.22863,0.22404,0.11447,0.04196,2.34251,3.87415,1.81046,0.000284894,0.000284894,0.000284894
18,512.954,2.06947,2.98051,1.5038,0.26163,0.13651,0.10261,0.03816,2.31729,3.72484,1.748,0.000276638,0.000276638,0.000276638
19,586.105,2.12507,2.93066,1.51244,0.86133,0.05263,0.11554,0.04408,2.30199,3.66271,1.71475,0.000268381,0.000268381,0.000268381
