                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0373,                 1.3783,                  1.048,                0.99434,                0.95652,                0.98907,                0.71805,                 1.0859,                0.86072,                 1.0638,             0.00013628,             0.00013628,             0.00013628
                     36,                 1.0458,                 1.3999,                 1.0654,                0.99216,                0.95652,                0.98907,                0.71446,                  1.095,                 0.8599,                  1.063,             0.00012802,             0.00012802,             0.00012802
                     37,                  1.062,                 1.4046,                  1.079,                0.99474,                0.95652,                 0.9918,                0.71953,                 1.1345,                0.82852,                 1.0843,             0.00011976,             0.00011976,             0.00011976
                     38,                 1.0014,                 1.3482,                 1.0546,                0.99486,                0.95652,                0.99333,                0.70937,                  1.116,                0.82103,                 1.0782,             0.00011151,             0.00011151,             0.00011151
                     39,                  1.029,                 1.3187,                 1.0443,                 0.9951,                0.95652,                0.99038,                0.70016,                 1.1253,                0.86031,                 1.0842,             0.00010325,             0.00010325,             0.00010325
                     40,                0.95543,                 1.2333,                 1.0321,                0.99521,                0.95652,                0.99038,                0.70294,                 1.1166,                0.85933,                 1.0908,             9.4993e-05,             9.4993e-05,             9.4993e-05
                     41,                0.84862,                 1.3578,                0.95691,                      1,                0.99523,                  0.995,                0.73479,                 1.1017,                 0.8117,                 1.0729,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     42,                0.83772,                 1.3287,                0.93442,                      1,                0.99492,                  0.995,                0.75123,                 1.0756,                 0.8063,                 1.0617,             7.8479e-05,             7.8479e-05,             7.8479e-05
                     43,                0.87073,                 1.3716,                0.96847,                      1,                0.99935,                  0.995,                0.75647,                 1.0447,                0.80395,                 1.0499,             7.0223e-05,             7.0223e-05,             7.0223e-05
                     44,                0.83658,                 1.3388,                0.94516,                0.99104,                      1,                  0.995,                 0.7612,                 1.0327,                0.79168,                 1.0503,             6.1966e-05,             6.1966e-05,             6.1966e-05
                     45,                0.83739,                  1.329,                0.93811,                0.98983,                      1,                  0.995,                0.78186,                 1.0101,                0.77737,                 1.0447,              5.371e-05,              5.371e-05,              5.371e-05
                     46,                0.85687,                 1.3401,                0.94263,                      1,                0.99786,                  0.995,                0.77258,                0.99806,                0.77533,                 1.0389,             4.5453e-05,             4.5453e-05,             4.5453e-05
                     47,                0.82677,                 1.2801,                0.94863,                      1,                0.99424,                  0.995,                0.76072,                0.98429,                0.75219,                 1.0364,             3.7196e-05,             3.7196e-05,             3.7196e-05
                     48,                0.84898,                 1.2675,                0.93211,                      1,                0.99588,                  0.995,                0.76615,                0.97726,                   0.75,                 1.0345,              2.894e-05,              2.894e-05,              2.894e-05
                     49,                0.82402,                  1.275,                0.90821,                0.99899,                      1,                  0.995,                0.77434,                0.97716,                0.74046,                 1.0366,             2.0683e-05,             2.0683e-05,             2.0683e-05
                     50,                0.85461,                 1.3038,                0.95248,                      1,                0.99955,                  0.995,                 0.7682,                0.97302,                0.75295,                 1.0299,             1.2427e-05,             1.2427e-05,             1.2427e-05
