epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.03127,2.62683,5.08125,2.08472,0,0,0,0,2.67565,4.86393,2.41867,2.502e-05,2.502e-05,2.502e-05
2,4.88131,2.5438,5.03955,2.00386,0,0,0,0,2.59522,4.80045,2.20705,5.41563e-05,5.41563e-05,5.41563e-05
3,6.69185,2.51243,4.94056,1.9032,0,0,0,0,2.43657,4.69969,1.97929,8.32349e-05,8.32349e-05,8.32349e-05
4,8.50627,2.31162,4.76305,1.77409,0,0,0,0,2.31658,4.58938,1.76497,0.000112256,0.000112256,0.000112256
5,10.5738,2.26952,4.66056,1.70548,0.00831,0.03158,0.01113,0.0082,2.31293,4.48131,1.67599,0.000141219,0.000141219,0.000141219
6,12.4674,2.2329,4.27001,1.55678,0.01626,0.12176,0.0333,0.01545,2.34068,4.39724,1.65893,0.000170124,0.000170124,0.000170124
7,14.2967,2.22648,4.07483,1.55795,0.03672,0.27229,0.04965,0.01838,2.34691,4.22526,1.62475,0.000198971,0.000198971,0.000198971
8,16.1397,2.18507,3.84399,1.5671,0.01461,0.43082,0.04184,0.01417,2.34933,4.10468,1.60629,0.000227761,0.000227761,0.000227761
9,17.9702,2.12892,3.77873,1.51655,0.01265,0.45009,0.06955,0.02806,2.31968,3.95849,1.59883,0.000256492,0.000256492,0.000256492
10,19.8737,2.13578,3.74163,1.52976,0.01291,0.4941,0.06212,0.02461,2.26831,3.9622,1.62104,0.000285166,0.000285166,0.000285166
11,21.7227,2.1228,3.62946,1.54401,0.9848,0.02632,0.0667,0.02667,2.30939,3.97351,1.68837,0.000313782,0.000313782,0.000313782
12,23.5645,2.11689,3.54155,1.53513,0.71552,0.06491,0.09238,0.04594,2.32058,3.89774,1.67874,0.000342341,0.000342341,0.000342341
13,25.5002,2.12723,3.42203,1.53234,0.43933,0.05439,0.06803,0.02516,2.35951,3.78418,1.71175,0.000370841,0.000370841,0.000370841
14,27.3533,2.11215,3.39371,1.5676,0.35154,0.10453,0.11421,0.03828,2.38348,3.47824,1.68168,0.000399284,0.000399284,0.000399284
15,29.2555,2.13803,3.25074,1.52486,0.54659,0.11842,0.10649,0.03201,2.39712,3.45374,1.72358,0.00041122,0.00041122,0.00041122
16,31.1476,2.14028,3.18097,1.56548,0.71515,0.11155,0.11734,0.04262,2.38199,3.38442,1.76394,0.000410808,0.000410808,0.000410808
17,33.031,2.09093,3.11635,1.56756,0.40214,0.14528,0.08981,0.03006,2.41255,3.5827,1.86608,0.000410395,0.000410395,0.000410395
18,34.8985,2.08171,3.15546,1.56639,0.56507,0.11053,0.09603,0.03546,2.35873,3.5945,1.82199,0.000409982,0.000409982,0.000409982
19,36.7492,2.04547,2.99243,1.51046,0.36548,0.12705,0.08491,0.0324,2.43869,3.68249,1.91293,0.000409569,0.000409569,0.000409569
20,38.5894,2.02926,2.85067,1.49286,0.40415,0.22994,0.11785,0.05077,2.38096,3.51705,1.80957,0.000409156,0.000409156,0.000409156
21,40.5405,2.11355,2.79948,1.534,0.46357,0.15831,0.14252,0.05155,2.38671,3.18111,1.77818,0.000408743,0.000408743,0.000408743
22,42.5388,2.07179,2.76512,1.48002,0.78097,0.08772,0.13918,0.0425,2.3612,3.12799,1.78185,0.000408331,0.000408331,0.000408331
23,44.4213,2.04403,2.71199,1.52169,0.26914,0.22361,0.10185,0.03453,2.35044,3.32912,1.78746,0.000407918,0.000407918,0.000407918
24,46.3123,2.04093,2.75896,1.47635,0.81581,0.03018,0.05217,0.0178,2.42255,3.5325,1.86476,0.000407505,0.000407505,0.000407505
25,48.1997,1.96755,2.58591,1.44845,0.18202,0.06492,0.05769,0.02453,2.39544,3.45733,1.9168,0.000407092,0.000407092,0.000407092
26,50.0737,1.98842,2.56749,1.50848,0.98253,0.04211,0.07694,0.03194,2.39283,3.38135,1.90713,0.000406679,0.000406679,0.000406679
27,51.956,2.00238,2.49615,1.44449,0.37826,0.08467,0.07383,0.02737,2.40434,3.3105,1.77955,0.000406266,0.000406266,0.000406266
28,53.8157,1.9954,2.53073,1.4688,0.30498,0.12208,0.07224,0.02839,2.45823,3.4546,1.7741,0.000405854,0.000405854,0.000405854
29,55.7137,1.98427,2.46626,1.45271,0.34334,0.09115,0.11799,0.04126,2.44873,3.60584,1.68823,0.000405441,0.000405441,0.000405441
30,57.5936,1.97715,2.43554,1.43771,0.36233,0.07331,0.10124,0.04325,2.42426,3.56753,1.76366,0.000405028,0.000405028,0.000405028
31,59.6135,1.93085,2.30709,1.46864,0.36516,0.10131,0.1436,0.05983,2.41334,3.41264,1.75398,0.000404615,0.000404615,0.000404615
32,61.6321,1.98426,2.34905,1.48474,0.26452,0.13327,0.07624,0.02244,2.353,3.3831,1.71392,0.000404202,0.000404202,0.000404202
33,63.6397,1.8902,2.33449,1.4375,0.33757,0.14158,0.11403,0.04275,2.35562,3.40875,1.79176,0.000403789,0.000403789,0.000403789
34,65.5079,1.88726,2.34145,1.4392,0.28384,0.16539,0.10438,0.03653,2.35351,3.41268,1.74912,0.000403377,0.000403377,0.000403377
35,67.4579,1.93022,2.37991,1.45161,0.33445,0.18711,0.12514,0.05325,2.39612,3.65417,1.76308,0.000402964,0.000402964,0.000402964
36,69.5262,1.89821,2.23533,1.42191,0.39452,0.15481,0.14076,0.07023,2.35298,3.53679,1.75378,0.000402551,0.000402551,0.000402551
37,71.8766,1.90888,2.1557,1.40118,0.3536,0.15518,0.13705,0.07274,2.30713,3.43265,1.7583,0.000402138,0.000402138,0.000402138
38,74.0074,1.8861,2.19199,1.424,0.28559,0.13622,0.1162,0.05102,2.36938,3.48166,1.83009,0.000401725,0.000401725,0.000401725
39,75.9346,1.88147,2.15872,1.3949,0.36677,0.14808,0.11586,0.04512,2.40535,3.62816,1.87181,0.000401312,0.000401312,0.000401312
40,77.8368,1.86998,2.00177,1.35574,0.17847,0.11846,0.09261,0.03603,2.33535,3.74412,1.86258,0.0004009,0.0004009,0.0004009
41,79.8648,1.84774,2.15624,1.38727,0.24227,0.08111,0.09942,0.04354,2.38549,3.75998,1.90138,0.000400487,0.000400487,0.000400487
42,81.7738,1.82696,1.99446,1.3952,0.22624,0.07331,0.10694,0.04519,2.45021,3.61245,1.98072,0.000400074,0.000400074,0.000400074
43,83.6341,1.81516,2.03201,1.42366,0.30592,0.07547,0.12003,0.04955,2.44265,3.53578,1.97237,0.000399661,0.000399661,0.000399661
44,85.4617,1.82719,1.96074,1.40115,0.21929,0.10853,0.10904,0.04363,2.42669,3.51241,1.90513,0.000399248,0.000399248,0.000399248
45,87.3127,1.81529,1.99523,1.37021,0.13864,0.13331,0.12377,0.05861,2.37158,3.45975,1.8197,0.000398835,0.000398835,0.000398835
46,89.1635,1.81717,2.02725,1.37736,0.28492,0.16503,0.12427,0.05765,2.44485,3.3658,1.87628,0.000398423,0.000398423,0.000398423
47,91.0128,1.80567,1.94865,1.37577,0.32605,0.16275,0.13915,0.07388,2.45418,3.48605,1.88721,0.00039801,0.00039801,0.00039801
48,92.8657,1.78774,1.9599,1.40095,0.39268,0.13981,0.15458,0.08317,2.47236,3.68811,1.90307,0.000397597,0.000397597,0.000397597
49,94.7465,1.80791,1.86152,1.36178,0.34152,0.17274,0.12711,0.0595,2.39534,3.66702,1.80063,0.000397184,0.000397184,0.000397184
50,96.5853,1.77988,1.86556,1.34206,0.68191,0.11101,0.13879,0.0669,2.40965,3.64246,1.83877,0.000396771,0.000396771,0.000396771
51,98.4533,1.82162,1.79476,1.36731,0.56348,0.14234,0.13651,0.06741,2.40764,3.68363,1.83764,0.000396358,0.000396358,0.000396358
52,100.324,1.75426,1.81737,1.35804,0.41994,0.19113,0.16807,0.07439,2.35856,3.61913,1.79992,0.000395946,0.000395946,0.000395946
53,102.168,1.80757,1.89308,1.4148,0.31385,0.14091,0.12217,0.04859,2.47136,3.62412,1.79282,0.000395533,0.000395533,0.000395533
54,104.006,1.71369,1.86623,1.37123,0.31798,0.1908,0.1525,0.07391,2.39046,3.49243,1.74219,0.00039512,0.00039512,0.00039512
55,105.881,1.77435,1.76324,1.34236,0.27101,0.17357,0.16365,0.07574,2.41018,3.5712,1.7945,0.000394707,0.000394707,0.000394707
56,107.718,1.69668,1.81922,1.36841,0.22562,0.12039,0.12457,0.05918,2.41672,3.69499,1.80099,0.000394294,0.000394294,0.000394294
57,109.572,1.71326,1.74182,1.35363,0.26227,0.13515,0.11123,0.05366,2.45802,3.53159,1.84747,0.000393882,0.000393882,0.000393882
58,111.437,1.70836,1.7405,1.30994,0.16139,0.19768,0.14342,0.06487,2.4326,3.41015,1.86341,0.000393469,0.000393469,0.000393469
59,113.292,1.77163,1.70791,1.36901,0.58539,0.10526,0.15915,0.07332,2.4077,3.42032,1.87276,0.000393056,0.000393056,0.000393056
60,115.127,1.69363,1.71739,1.33078,0.29419,0.12191,0.15173,0.06729,2.428,3.49573,1.8883,0.000392643,0.000392643,0.000392643
61,117.02,1.64807,1.61688,1.29575,0.60929,0.09881,0.13192,0.06062,2.424,3.39512,1.90809,0.00039223,0.00039223,0.00039223
62,118.882,1.63745,1.69723,1.31914,0.24226,0.17513,0.16202,0.06912,2.48486,3.4044,1.95603,0.000391817,0.000391817,0.000391817
63,120.777,1.74687,1.62911,1.31929,0.28836,0.18342,0.16218,0.08055,2.51125,3.45219,1.96537,0.000391405,0.000391405,0.000391405
64,122.627,1.7089,1.64879,1.35854,0.25663,0.16848,0.12839,0.064,2.42117,3.54547,1.91285,0.000390992,0.000390992,0.000390992
65,124.529,1.75046,1.61776,1.32314,0.20493,0.13478,0.10921,0.04906,2.50928,3.60475,1.98233,0.000390579,0.000390579,0.000390579
