epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,218.785,1.8506,2.39954,1.39228,0.33782,0.17895,0.14973,0.07647,2.29782,3.34896,1.71444,0.00024774,0.00024774,0.00024774
43,223.702,1.86137,2.37116,1.41329,0.32764,0.19688,0.15949,0.08211,2.30596,3.33601,1.73172,0.000243611,0.000243611,0.000243611
44,228.638,1.90437,2.32659,1.40837,0.3135,0.21828,0.15605,0.07508,2.29517,3.25181,1.71576,0.000239483,0.000239483,0.000239483
45,233.433,1.85145,2.23675,1.39443,0.60232,0.14617,0.18285,0.08536,2.30463,3.24773,1.71135,0.000235355,0.000235355,0.000235355
46,238.362,1.85201,2.37293,1.43304,0.65699,0.1526,0.19656,0.0887,2.32829,3.28458,1.75026,0.000231226,0.000231226,0.000231226
47,243.443,1.84136,2.18695,1.3721,0.74138,0.14386,0.17881,0.07064,2.33336,3.32807,1.76044,0.000227098,0.000227098,0.000227098
48,248.365,1.82143,2.32822,1.41278,0.41754,0.12851,0.14834,0.06912,2.35382,3.39244,1.79073,0.00022297,0.00022297,0.00022297
49,253.294,1.85006,2.24608,1.41102,0.3754,0.14031,0.15372,0.06786,2.35081,3.33817,1.79057,0.000218842,0.000218842,0.000218842
50,258.152,1.84509,2.21472,1.3752,0.39881,0.16561,0.16402,0.07488,2.33344,3.32575,1.75148,0.000214713,0.000214713,0.000214713
51,263.029,1.80416,2.2162,1.38476,0.46345,0.12509,0.14898,0.06841,2.34423,3.33499,1.77358,0.000210585,0.000210585,0.000210585
52,267.889,1.82034,2.18577,1.38333,0.34601,0.15916,0.13718,0.0654,2.35876,3.37984,1.78007,0.000206457,0.000206457,0.000206457
53,272.964,1.82133,2.13392,1.38726,0.34319,0.19348,0.14676,0.07842,2.34256,3.42469,1.76529,0.000202328,0.000202328,0.000202328
54,277.943,1.84281,2.04728,1.36119,0.45579,0.15915,0.16172,0.07754,2.36715,3.46218,1.77658,0.0001982,0.0001982,0.0001982
55,282.928,1.83505,2.0331,1.33869,0.28613,0.17574,0.16229,0.07465,2.3578,3.40771,1.7725,0.000194072,0.000194072,0.000194072
56,288.012,1.76752,2.16301,1.37668,0.33963,0.20814,0.14635,0.07188,2.37017,3.37918,1.80677,0.000189943,0.000189943,0.000189943
57,292.977,1.78422,2.0557,1.36384,0.28949,0.19775,0.17673,0.06338,2.36258,3.36569,1.80467,0.000185815,0.000185815,0.000185815
58,297.801,1.76225,2.03592,1.35276,0.42888,0.17813,0.1808,0.07122,2.34956,3.33721,1.80511,0.000181687,0.000181687,0.000181687
59,302.619,1.76564,2.03827,1.38167,0.46569,0.15923,0.19486,0.06966,2.34173,3.33786,1.82058,0.000177559,0.000177559,0.000177559
60,307.376,1.81221,1.95085,1.35547,0.42512,0.1651,0.19603,0.07909,2.34958,3.39093,1.80655,0.00017343,0.00017343,0.00017343
61,312.472,1.78452,2.03075,1.36519,0.28688,0.13891,0.1453,0.06267,2.38104,3.35854,1.81174,0.000169302,0.000169302,0.000169302
62,317.416,1.75799,1.94907,1.30295,0.21987,0.18248,0.14204,0.06338,2.3472,3.34734,1.78677,0.000165174,0.000165174,0.000165174
63,322.367,1.72426,1.97415,1.3483,0.2294,0.18681,0.15851,0.07947,2.32723,3.3399,1.78233,0.000161045,0.000161045,0.000161045
64,327.167,1.75537,1.87413,1.35492,0.35141,0.17809,0.15386,0.074,2.32097,3.37511,1.7687,0.000156917,0.000156917,0.000156917
65,331.988,1.76486,2.05817,1.3422,0.36694,0.15779,0.13762,0.07001,2.35657,3.46111,1.78949,0.000152789,0.000152789,0.000152789
66,337.083,1.79486,1.91755,1.3525,0.2179,0.18197,0.13832,0.071,2.35749,3.43061,1.80336,0.00014866,0.00014866,0.00014866
67,342.029,1.71481,1.93536,1.33793,0.25834,0.18807,0.12035,0.05612,2.3552,3.42688,1.80277,0.000144532,0.000144532,0.000144532
68,347.018,1.68393,1.87769,1.30117,0.27606,0.20768,0.11928,0.05134,2.37884,3.45488,1.79904,0.000140404,0.000140404,0.000140404
69,352.152,1.76733,1.99095,1.33545,0.21295,0.20242,0.13344,0.05323,2.39687,3.48044,1.80213,0.000136276,0.000136276,0.000136276
70,357.017,1.72012,1.91567,1.32714,0.21675,0.18944,0.15265,0.06114,2.39093,3.48863,1.80955,0.000132147,0.000132147,0.000132147
71,361.962,1.66313,1.85949,1.2994,0.28039,0.19365,0.15822,0.06498,2.39066,3.49198,1.80975,0.000128019,0.000128019,0.000128019
72,366.917,1.74016,1.92879,1.31635,0.27458,0.16019,0.16789,0.07156,2.39696,3.47224,1.80795,0.000123891,0.000123891,0.000123891
73,371.831,1.7179,1.87467,1.32453,0.21912,0.27646,0.16506,0.07494,2.40002,3.47362,1.82977,0.000119762,0.000119762,0.000119762
74,376.842,1.65016,1.86546,1.31242,0.23014,0.18106,0.16582,0.08486,2.41237,3.49633,1.86999,0.000115634,0.000115634,0.000115634
75,381.714,1.73711,1.75584,1.32974,0.29511,0.14021,0.17669,0.09168,2.39847,3.49212,1.86332,0.000111506,0.000111506,0.000111506
76,386.594,1.67375,1.79348,1.27845,0.23305,0.18524,0.15723,0.08405,2.38194,3.51977,1.84271,0.000107378,0.000107378,0.000107378
77,391.538,1.69409,1.82343,1.29327,0.68845,0.09499,0.15761,0.08325,2.39759,3.54125,1.85568,0.000103249,0.000103249,0.000103249
78,396.426,1.63121,1.77156,1.3049,0.28507,0.17413,0.16849,0.09352,2.42834,3.5351,1.88442,9.91209e-05,9.91209e-05,9.91209e-05
79,401.228,1.64676,1.73044,1.29284,0.60478,0.10389,0.18038,0.09238,2.42948,3.52877,1.89052,9.49926e-05,9.49926e-05,9.49926e-05
80,406.235,1.64554,1.79431,1.31825,0.55745,0.12971,0.18323,0.08368,2.40891,3.49794,1.84177,9.08643e-05,9.08643e-05,9.08643e-05
81,411.19,1.6675,1.75057,1.2722,0.55782,0.10289,0.15505,0.07364,2.39191,3.50172,1.81426,8.6736e-05,8.6736e-05,8.6736e-05
82,416.049,1.62159,1.70373,1.29155,0.33171,0.12507,0.17279,0.08242,2.39836,3.4444,1.82815,8.26077e-05,8.26077e-05,8.26077e-05
83,420.941,1.63596,1.71694,1.28466,0.22344,0.16346,0.17238,0.09033,2.40833,3.43224,1.84427,7.84794e-05,7.84794e-05,7.84794e-05
84,425.701,1.58506,1.72375,1.29272,0.20798,0.19627,0.16895,0.08894,2.40734,3.45651,1.8323,7.43511e-05,7.43511e-05,7.43511e-05
85,430.459,1.62525,1.66706,1.28749,0.28009,0.14204,0.16224,0.08382,2.40557,3.47843,1.81552,7.02228e-05,7.02228e-05,7.02228e-05
86,435.344,1.65283,1.69824,1.31204,0.26205,0.21108,0.16926,0.08621,2.40661,3.49871,1.82972,6.60945e-05,6.60945e-05,6.60945e-05
87,440.336,1.6064,1.62258,1.26421,0.2646,0.21481,0.17637,0.08782,2.39623,3.48528,1.842,6.19662e-05,6.19662e-05,6.19662e-05
88,445.053,1.5938,1.70188,1.27208,0.28766,0.18215,0.18481,0.09267,2.41084,3.47168,1.85407,5.78379e-05,5.78379e-05,5.78379e-05
89,449.933,1.63631,1.67542,1.27828,0.32158,0.17749,0.18452,0.09241,2.42716,3.45439,1.85104,5.37096e-05,5.37096e-05,5.37096e-05
90,454.75,1.61866,1.64608,1.26979,0.29686,0.20075,0.16022,0.08291,2.44105,3.47017,1.85476,4.95813e-05,4.95813e-05,4.95813e-05
91,495.538,1.64177,1.92438,1.32773,0.29449,0.20108,0.15023,0.07297,2.44354,3.51098,1.85206,4.5453e-05,4.5453e-05,4.5453e-05
92,500.424,1.59025,1.88378,1.30933,0.2735,0.21098,0.14776,0.07412,2.45007,3.52988,1.88436,4.13247e-05,4.13247e-05,4.13247e-05
93,505.341,1.64701,1.93567,1.3489,0.327,0.1363,0.14962,0.07248,2.44283,3.52948,1.89813,3.71964e-05,3.71964e-05,3.71964e-05
94,510.085,1.58633,1.80161,1.31515,0.32369,0.13603,0.14755,0.07148,2.4353,3.53052,1.89369,3.30681e-05,3.30681e-05,3.30681e-05
95,514.849,1.57439,1.8167,1.30227,0.32106,0.13474,0.16207,0.07922,2.42289,3.54084,1.8735,2.89398e-05,2.89398e-05,2.89398e-05
96,519.818,1.57,1.89022,1.33067,0.30531,0.1365,0.15953,0.0834,2.40173,3.54314,1.84731,2.48115e-05,2.48115e-05,2.48115e-05
97,524.751,1.55845,1.84833,1.30453,0.32136,0.13675,0.16101,0.08074,2.40295,3.55217,1.83857,2.06832e-05,2.06832e-05,2.06832e-05
98,529.53,1.59676,1.88417,1.34086,0.33032,0.14541,0.16292,0.08054,2.4037,3.53502,1.83776,1.65549e-05,1.65549e-05,1.65549e-05
99,534.394,1.57718,1.86206,1.28366,0.3304,0.14492,0.16171,0.08252,2.40006,3.54063,1.83902,1.24266e-05,1.24266e-05,1.24266e-05
100,539.475,1.53477,1.83943,1.26928,0.31097,0.11863,0.15747,0.08186,2.39526,3.56453,1.84389,8.2983e-06,8.2983e-06,8.2983e-06
