                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5404,                  5.551,                 1.2804,                      0,                      0,                      0,                      0,                0.96806,                 4.6901,                 1.0289,              7.923e-05,              7.923e-05,              7.923e-05
                      2,                 1.3495,                 4.1282,                 1.1828,                0.44186,                0.82609,                0.78709,                0.51869,                 1.0687,                  4.166,                0.99977,             0.00014653,             0.00014653,             0.00014653
                      3,                 1.3255,                 2.8351,                 1.1854,                0.91365,                0.46097,                0.92396,                0.65443,                 1.0891,                 3.0955,                0.95184,             0.00019732,             0.00019732,             0.00019732
                      4,                 1.2623,                 2.6074,                 1.1175,                      1,                0.44474,                  0.965,                0.67441,                 1.0961,                 2.9365,                0.95021,             0.00023159,             0.00023159,             0.00023159
                      5,                   1.25,                 2.6032,                 1.0953,                0.96101,                0.86957,                0.96812,                0.67345,                  1.131,                 2.1845,                0.97657,             0.00024935,             0.00024935,             0.00024935
                      6,                 1.1328,                 2.2678,                 1.0135,                      1,                0.81993,                  0.963,                0.69965,                 1.1077,                 1.6807,                0.97911,             0.00021059,             0.00021059,             0.00021059
