epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.05338,2.62683,5.08125,2.08472,0,0,0,0,2.67565,4.86393,2.41867,2.502e-05,2.502e-05,2.502e-05
2,4.89529,2.54359,5.04056,2.00451,0,0,0,0,2.60099,4.80723,2.21647,5.31366e-05,5.31366e-05,5.31366e-05
3,6.72167,2.5096,4.93982,1.91379,0,0,0,0,2.44976,4.70425,1.98242,8.00974e-05,8.00974e-05,8.00974e-05
4,8.55866,2.31204,4.77297,1.78274,0,0,0,0,2.35433,4.57772,1.76676,0.000105902,0.000105902,0.000105902
5,10.5562,2.30522,4.66172,1.71486,0.05921,0.02807,0.04117,0.03233,2.33662,4.45022,1.62658,0.000130551,0.000130551,0.000130551
6,12.4025,2.24355,4.31821,1.56522,0.01357,0.11641,0.03021,0.02053,2.34233,4.36401,1.615,0.000154044,0.000154044,0.000154044
7,14.2266,2.23609,4.12264,1.55581,0.0128,0.21649,0.02389,0.0125,2.35553,4.20585,1.59505,0.000176381,0.000176381,0.000176381
8,16.0586,2.21754,3.88644,1.56298,0.01794,0.3676,0.04277,0.02065,2.35594,4.06565,1.58762,0.000197562,0.000197562,0.000197562
9,17.9377,2.1413,3.82483,1.51542,0.01313,0.43778,0.0542,0.02766,2.34546,3.92961,1.59662,0.000217587,0.000217587,0.000217587
10,19.8043,2.15283,3.76353,1.53667,0.01338,0.51746,0.05027,0.02429,2.30894,3.87781,1.60888,0.000236457,0.000236457,0.000236457
11,21.6329,2.13541,3.67341,1.52867,0.01332,0.5244,0.05405,0.02313,2.30883,3.80232,1.64105,0.00025417,0.00025417,0.00025417
12,23.4425,2.12308,3.53452,1.52933,0.01247,0.54907,0.05903,0.0208,2.29274,3.77749,1.63808,0.000270727,0.000270727,0.000270727
13,25.2748,2.10016,3.42134,1.5188,0.01176,0.53024,0.05777,0.02272,2.33556,3.6749,1.66104,0.000286129,0.000286129,0.000286129
14,27.0932,2.11209,3.46095,1.56757,0.1982,0.33161,0.05762,0.02641,2.34756,3.53136,1.67976,0.000300374,0.000300374,0.000300374
