epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.16795,2.62683,5.08125,2.08472,0,0,0,0,2.67565,4.86393,2.41867,2.502e-05,2.502e-05,2.502e-05
2,5.00561,2.54284,5.04013,2.00357,0,0,0,0,2.58707,4.79835,2.20239,5.40311e-05,5.40311e-05,5.40311e-05
3,6.83907,2.50815,4.93858,1.90234,0,0,0,0,2.41984,4.69892,1.9546,8.28496e-05,8.28496e-05,8.28496e-05
4,8.65986,2.31814,4.75674,1.7737,0,0,0,0,2.36676,4.60236,1.79637,0.000111475,0.000111475,0.000111475
5,10.7117,2.28182,4.64358,1.69273,0.02105,0.0386,0.03595,0.03065,2.32388,4.48126,1.68297,0.000139909,0.000139909,0.000139909
6,12.5512,2.2396,4.28266,1.55993,0.0145,0.16066,0.04395,0.02709,2.31893,4.37391,1.63918,0.000168149,0.000168149,0.000168149
7,14.3773,2.21485,4.08122,1.55216,0.01717,0.32458,0.05851,0.0282,2.3221,4.22576,1.63968,0.000196197,0.000196197,0.000196197
8,16.2045,2.20268,3.86669,1.5783,0.01538,0.41855,0.05991,0.03208,2.35464,4.06192,1.65594,0.000224052,0.000224052,0.000224052
9,18.0385,2.13477,3.78364,1.50628,0.01315,0.47196,0.07296,0.03137,2.36682,3.86039,1.6383,0.000251715,0.000251715,0.000251715
10,19.8895,2.14952,3.73681,1.53027,0.41232,0.08001,0.07278,0.03167,2.31692,3.79033,1.6232,0.000279184,0.000279184,0.000279184
11,21.6951,2.12769,3.6276,1.54875,0.45238,0.08701,0.07232,0.03892,2.33687,3.70926,1.70262,0.000306462,0.000306462,0.000306462
12,23.5194,2.1481,3.497,1.54606,0.60215,0.07717,0.07268,0.03247,2.3409,3.64923,1.68185,0.000333546,0.000333546,0.000333546
13,25.3409,2.12022,3.3928,1.53501,0.33941,0.0837,0.04898,0.02339,2.33823,3.58864,1.74443,0.000360438,0.000360438,0.000360438
14,27.1547,2.13198,3.40831,1.59107,0.89613,0.03684,0.05472,0.02381,2.35519,3.49368,1.76215,0.000387137,0.000387137,0.000387137
15,29.0255,2.1255,3.25659,1.52926,0.33658,0.05177,0.0573,0.02228,2.36576,3.35534,1.72749,0.000397735,0.000397735,0.000397735
16,30.8269,2.11404,3.21067,1.55785,0.36217,0.11291,0.07641,0.02415,2.3975,3.37384,1.7516,0.000396358,0.000396358,0.000396358
17,32.6633,2.09677,3.15626,1.57388,0.31957,0.11019,0.08693,0.03396,2.35959,3.30033,1.6729,0.000394982,0.000394982,0.000394982
18,34.4975,2.07806,3.10037,1.57221,0.27615,0.18883,0.09052,0.03514,2.37088,3.37952,1.72601,0.000393606,0.000393606,0.000393606
19,36.331,2.0463,2.96362,1.51182,0.3548,0.18846,0.06133,0.0249,2.39903,3.526,1.82928,0.00039223,0.00039223,0.00039223
20,38.1388,2.03771,2.83225,1.47593,0.33994,0.09101,0.07588,0.02655,2.4193,3.70334,1.89659,0.000390854,0.000390854,0.000390854
21,39.9883,2.09358,2.74791,1.5264,0.3173,0.16443,0.09459,0.03367,2.45066,3.59319,1.90745,0.000389478,0.000389478,0.000389478
22,41.8009,2.07351,2.72533,1.47521,0.35184,0.18259,0.11367,0.03539,2.38505,3.36562,1.82659,0.000388102,0.000388102,0.000388102
23,43.6477,2.04667,2.73476,1.5245,0.79012,0.07544,0.11949,0.04422,2.36459,3.48457,1.78073,0.000386726,0.000386726,0.000386726
24,45.4928,2.04003,2.7452,1.47159,0.2642,0.13747,0.08044,0.03203,2.3827,3.57518,1.75768,0.00038535,0.00038535,0.00038535
25,47.3413,1.97672,2.52012,1.45197,0.35274,0.14444,0.08795,0.03445,2.40058,3.56632,1.82645,0.000383974,0.000383974,0.000383974
26,49.1557,2.00561,2.53182,1.52224,0.71752,0.07484,0.10842,0.04612,2.35908,3.53648,1.79736,0.000382597,0.000382597,0.000382597
27,50.9998,1.99193,2.44854,1.42443,0.55556,0.12373,0.1035,0.04308,2.38977,3.65271,1.78251,0.000381221,0.000381221,0.000381221
28,52.8087,1.97345,2.50164,1.44475,0.32855,0.13777,0.07926,0.02826,2.37897,3.82776,1.81316,0.000379845,0.000379845,0.000379845
29,54.633,1.97512,2.40883,1.44185,0.01517,0.58804,0.07459,0.03155,2.34977,3.76612,1.7061,0.000378469,0.000378469,0.000378469
30,56.4381,1.99389,2.39026,1.44101,0.22336,0.1095,0.11273,0.04898,2.33622,3.66112,1.73672,0.000377093,0.000377093,0.000377093
31,58.2719,1.92051,2.30235,1.45348,0.16968,0.11222,0.09645,0.03915,2.39309,3.58844,1.83881,0.000375717,0.000375717,0.000375717
32,60.0966,1.96593,2.37493,1.49301,0.34558,0.09738,0.10414,0.03772,2.36375,3.53546,1.75518,0.000374341,0.000374341,0.000374341
33,61.9256,1.90281,2.30709,1.41981,0.39699,0.07816,0.08014,0.0324,2.37834,3.61794,1.75753,0.000372965,0.000372965,0.000372965
34,63.7414,1.8919,2.35559,1.41253,0.23279,0.10809,0.07685,0.02823,2.39564,3.7378,1.7476,0.000371589,0.000371589,0.000371589
35,65.5917,1.97336,2.40937,1.46394,0.4408,0.14416,0.11293,0.03613,2.40505,3.62957,1.7389,0.000370213,0.000370213,0.000370213
36,67.4279,1.89566,2.19104,1.39697,0.38775,0.10713,0.09466,0.03534,2.40893,3.38829,1.77025,0.000368836,0.000368836,0.000368836
37,69.2758,1.89699,2.13303,1.38808,0.22358,0.14473,0.11374,0.0499,2.40387,3.29779,1.76755,0.00036746,0.00036746,0.00036746
