epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.98629,2.57125,5.72672,2.40868,0,0,0,0,2.50028,4.53509,2.58245,0.00012093,0.00012093,0.00012093
2,13.0408,2.32708,5.47134,2.22201,0.02632,0.00229,0.01491,0.00597,2.34998,4.37538,2.22919,0.000245218,0.000245218,0.000245218
3,19.0654,2.22114,5.1689,2.09161,0.0124,0.30799,0.02376,0.00686,2.31761,4.171,2.11342,0.000368681,0.000368681,0.000368681
4,25.4011,2.20145,4.91584,1.96314,0.74709,0.05593,0.02643,0.0103,2.37216,3.74924,2.10316,0.000412872,0.000412872,0.000412872
5,32.3073,2.21923,4.59492,1.94627,0.68112,0.04173,0.02847,0.01154,2.374,3.65979,2.05413,0.000411496,0.000411496,0.000411496
6,39.5355,2.14207,4.75271,1.873,0.49264,0.0631,0.06484,0.0149,2.40671,3.66955,2.06944,0.000410119,0.000410119,0.000410119
7,45.7672,2.11432,4.85008,1.91971,0.48979,0.07078,0.04792,0.01553,2.36327,3.73737,2.06387,0.000408743,0.000408743,0.000408743
8,51.9381,2.12822,4.32155,1.9039,0.35357,0.10701,0.04262,0.01721,2.37767,3.50063,2.11035,0.000407367,0.000407367,0.000407367
9,58.1426,2.10471,4.4312,1.88588,0.35613,0.0635,0.04949,0.02129,2.2945,3.3866,2.06037,0.000405991,0.000405991,0.000405991
10,64.3615,2.07819,4.137,1.84936,0.34,0.05354,0.05036,0.02172,2.29339,3.45483,2.04798,0.000404615,0.000404615,0.000404615
11,70.7147,2.03212,4.07228,1.86279,0.37984,0.08752,0.04621,0.01885,2.25067,3.54822,2.01261,0.000403239,0.000403239,0.000403239
12,77.0431,2.01517,4.15563,1.85385,0.30407,0.09901,0.04404,0.01807,2.24633,3.54689,2.04035,0.000401863,0.000401863,0.000401863
13,83.2683,1.94086,5.20236,1.75966,0.25445,0.10146,0.04318,0.01805,2.25432,3.55533,2.06778,0.000400487,0.000400487,0.000400487
14,89.5085,2.05038,4.31771,1.89139,0.18092,0.05864,0.05376,0.02632,2.26925,3.48279,2.09636,0.000399111,0.000399111,0.000399111
15,95.8433,2.00017,4.24312,1.82146,0.19548,0.06952,0.04887,0.021,2.3002,3.57711,2.09748,0.000397735,0.000397735,0.000397735
16,102.133,1.97794,4.08904,1.84568,0.30637,0.08181,0.05833,0.02255,2.30332,3.51907,2.13418,0.000396358,0.000396358,0.000396358
17,108.38,2.01155,3.8265,1.8325,0.3741,0.06301,0.05175,0.02491,2.22385,3.44393,2.07528,0.000394982,0.000394982,0.000394982
18,114.657,1.94922,3.99312,1.83405,0.63083,0.03977,0.06698,0.02642,2.16891,3.49441,2.0388,0.000393606,0.000393606,0.000393606
19,120.892,1.92917,3.84712,1.79925,0.19917,0.07892,0.04672,0.02346,2.2219,3.45455,2.05731,0.00039223,0.00039223,0.00039223
20,127.125,2.00188,3.98093,1.84935,0.28457,0.13585,0.07374,0.03176,2.22977,3.34153,2.0321,0.000390854,0.000390854,0.000390854
21,133.399,1.97355,3.66859,1.81056,0.27041,0.13003,0.07346,0.02793,2.22196,3.34076,2.05529,0.000389478,0.000389478,0.000389478
22,139.686,1.93974,4.08631,1.79745,0.23249,0.12655,0.06665,0.02698,2.20333,3.40526,2.04702,0.000388102,0.000388102,0.000388102
23,145.932,1.93452,3.73216,1.80566,0.26803,0.10158,0.07001,0.02315,2.20752,3.36237,2.05044,0.000386726,0.000386726,0.000386726
