                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.9634,                 2.8542,                 1.4417,                0.53418,                0.11718,                0.10971,                0.05026,                 2.2822,                 3.3495,                 1.6546,             0.00014453,             0.00014453,             0.00014453
                     35,                 1.9555,                 2.8689,                 1.4293,                0.45902,                0.11912,                0.10194,                0.04621,                 2.2796,                 3.3665,                 1.6558,             0.00013628,             0.00013628,             0.00013628
                     36,                 1.9553,                   2.75,                 1.4683,                0.41064,                0.13326,                0.10012,                0.04851,                 2.2823,                 3.3933,                 1.6653,             0.00012802,             0.00012802,             0.00012802
                     37,                 1.9541,                 2.6333,                 1.4304,                0.39811,                0.12073,                0.09909,                0.04627,                  2.282,                 3.4097,                 1.6801,             0.00011976,             0.00011976,             0.00011976
                     38,                 1.9093,                 2.6733,                 1.4289,                0.53885,                0.10386,                0.11371,                0.04685,                 2.2839,                 3.3592,                 1.6897,             0.00011151,             0.00011151,             0.00011151
                     39,                 1.9209,                 2.6749,                  1.422,                  0.803,                0.07544,                0.12341,                0.04763,                 2.2914,                 3.3299,                 1.7141,             0.00010325,             0.00010325,             0.00010325
                     40,                 1.9306,                 2.7774,                 1.4336,                0.91368,                0.07532,                0.12331,                0.04612,                 2.2807,                 3.3059,                 1.7138,             9.4993e-05,             9.4993e-05,             9.4993e-05
                     41,                 1.9618,                 2.9992,                 1.5128,                0.27406,                0.15104,                0.12177,                0.04907,                 2.3095,                 3.3111,                 1.7136,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     42,                 1.9732,                  2.885,                 1.5045,                0.96687,                0.07384,                0.12818,                0.05059,                 2.3237,                 3.3272,                 1.7167,             7.8479e-05,             7.8479e-05,             7.8479e-05
                     43,                 1.8895,                 2.9891,                 1.4962,                0.86653,                0.10175,                0.13572,                0.04968,                 2.3238,                   3.31,                 1.7168,             7.0223e-05,             7.0223e-05,             7.0223e-05
                     44,                 1.9036,                 2.8985,                 1.4933,                 0.8551,                0.10154,                0.14126,                0.04992,                 2.3113,                 3.3369,                 1.7021,             6.1966e-05,             6.1966e-05,             6.1966e-05
                     45,                 1.9141,                 3.0003,                 1.4903,                 0.5477,                0.13228,                0.15149,                0.05509,                 2.2932,                 3.3507,                 1.6916,              5.371e-05,              5.371e-05,              5.371e-05
                     46,                 1.9232,                 2.8972,                 1.5128,                0.29968,                0.18282,                0.13606,                0.06264,                 2.2972,                 3.3385,                 1.6907,             4.5453e-05,             4.5453e-05,             4.5453e-05
                     47,                 1.8893,                 2.8928,                 1.4809,                0.30173,                0.18233,                0.13075,                0.06226,                 2.2973,                 3.3347,                 1.6844,             3.7196e-05,             3.7196e-05,             3.7196e-05
                     48,                 1.8791,                 2.8201,                 1.4752,                0.29677,                0.17794,                0.13022,                0.06153,                 2.2992,                 3.3238,                 1.6931,              2.894e-05,              2.894e-05,              2.894e-05
                     49,                 1.8671,                 2.7115,                  1.478,                0.30042,                0.17865,                0.12926,                0.06143,                 2.2959,                 3.3197,                 1.6827,             2.0683e-05,             2.0683e-05,             2.0683e-05
                     50,                 1.8791,                  2.809,                 1.4997,                0.29992,                0.18067,                0.12743,                0.06047,                 2.2937,                 3.3261,                 1.6843,             1.2427e-05,             1.2427e-05,             1.2427e-05
